# Old Mojang name → New Mojang name (26.1 package reorganization)
# Format: OLD_CLASS	NEW_CLASS
net/minecraft/BlockUtil	net/minecraft/util/BlockUtil
net/minecraft/BlockUtil$FoundRectangle	net/minecraft/util/BlockUtil$FoundRectangle
net/minecraft/BlockUtil$IntBounds	net/minecraft/util/BlockUtil$IntBounds
net/minecraft/FileUtil	net/minecraft/util/FileUtil
net/minecraft/Util	net/minecraft/util/Util
net/minecraft/Util$1	net/minecraft/util/Util$1
net/minecraft/Util$10	net/minecraft/util/Util$10
net/minecraft/Util$11	net/minecraft/util/Util$11
net/minecraft/Util$2	net/minecraft/util/Util$2
net/minecraft/Util$5	net/minecraft/util/Util$5
net/minecraft/Util$6	net/minecraft/util/Util$6
net/minecraft/Util$7	net/minecraft/util/Util$7
net/minecraft/Util$8	net/minecraft/util/Util$8
net/minecraft/Util$9	net/minecraft/util/Util$9
net/minecraft/Util$OS	net/minecraft/util/Util$OS
net/minecraft/Util$OS$1	net/minecraft/util/Util$OS$1
net/minecraft/Util$OS$2	net/minecraft/util/Util$OS$2
net/minecraft/advancements/critereon/AnyBlockInteractionTrigger	net/minecraft/advancements/criterion/AnyBlockInteractionTrigger
net/minecraft/advancements/critereon/AnyBlockInteractionTrigger$TriggerInstance	net/minecraft/advancements/criterion/AnyBlockInteractionTrigger$TriggerInstance
net/minecraft/advancements/critereon/BeeNestDestroyedTrigger	net/minecraft/advancements/criterion/BeeNestDestroyedTrigger
net/minecraft/advancements/critereon/BeeNestDestroyedTrigger$TriggerInstance	net/minecraft/advancements/criterion/BeeNestDestroyedTrigger$TriggerInstance
net/minecraft/advancements/critereon/BlockPredicate	net/minecraft/advancements/criterion/BlockPredicate
net/minecraft/advancements/critereon/BlockPredicate$Builder	net/minecraft/advancements/criterion/BlockPredicate$Builder
net/minecraft/advancements/critereon/BredAnimalsTrigger	net/minecraft/advancements/criterion/BredAnimalsTrigger
net/minecraft/advancements/critereon/BredAnimalsTrigger$TriggerInstance	net/minecraft/advancements/criterion/BredAnimalsTrigger$TriggerInstance
net/minecraft/advancements/critereon/BrewedPotionTrigger	net/minecraft/advancements/criterion/BrewedPotionTrigger
net/minecraft/advancements/critereon/BrewedPotionTrigger$TriggerInstance	net/minecraft/advancements/criterion/BrewedPotionTrigger$TriggerInstance
net/minecraft/advancements/critereon/ChangeDimensionTrigger	net/minecraft/advancements/criterion/ChangeDimensionTrigger
net/minecraft/advancements/critereon/ChangeDimensionTrigger$TriggerInstance	net/minecraft/advancements/criterion/ChangeDimensionTrigger$TriggerInstance
net/minecraft/advancements/critereon/ChanneledLightningTrigger	net/minecraft/advancements/criterion/ChanneledLightningTrigger
net/minecraft/advancements/critereon/ChanneledLightningTrigger$TriggerInstance	net/minecraft/advancements/criterion/ChanneledLightningTrigger$TriggerInstance
net/minecraft/advancements/critereon/CollectionContentsPredicate	net/minecraft/advancements/criterion/CollectionContentsPredicate
net/minecraft/advancements/critereon/CollectionContentsPredicate$Multiple	net/minecraft/advancements/criterion/CollectionContentsPredicate$Multiple
net/minecraft/advancements/critereon/CollectionContentsPredicate$Single	net/minecraft/advancements/criterion/CollectionContentsPredicate$Single
net/minecraft/advancements/critereon/CollectionContentsPredicate$Zero	net/minecraft/advancements/criterion/CollectionContentsPredicate$Zero
net/minecraft/advancements/critereon/CollectionCountsPredicate	net/minecraft/advancements/criterion/CollectionCountsPredicate
net/minecraft/advancements/critereon/CollectionCountsPredicate$Entry	net/minecraft/advancements/criterion/CollectionCountsPredicate$Entry
net/minecraft/advancements/critereon/CollectionCountsPredicate$Multiple	net/minecraft/advancements/criterion/CollectionCountsPredicate$Multiple
net/minecraft/advancements/critereon/CollectionCountsPredicate$Single	net/minecraft/advancements/criterion/CollectionCountsPredicate$Single
net/minecraft/advancements/critereon/CollectionCountsPredicate$Zero	net/minecraft/advancements/criterion/CollectionCountsPredicate$Zero
net/minecraft/advancements/critereon/CollectionPredicate	net/minecraft/advancements/criterion/CollectionPredicate
net/minecraft/advancements/critereon/ConstructBeaconTrigger	net/minecraft/advancements/criterion/ConstructBeaconTrigger
net/minecraft/advancements/critereon/ConstructBeaconTrigger$TriggerInstance	net/minecraft/advancements/criterion/ConstructBeaconTrigger$TriggerInstance
net/minecraft/advancements/critereon/ConsumeItemTrigger	net/minecraft/advancements/criterion/ConsumeItemTrigger
net/minecraft/advancements/critereon/ConsumeItemTrigger$TriggerInstance	net/minecraft/advancements/criterion/ConsumeItemTrigger$TriggerInstance
net/minecraft/advancements/critereon/ContextAwarePredicate	net/minecraft/advancements/criterion/ContextAwarePredicate
net/minecraft/advancements/critereon/CuredZombieVillagerTrigger	net/minecraft/advancements/criterion/CuredZombieVillagerTrigger
net/minecraft/advancements/critereon/CuredZombieVillagerTrigger$TriggerInstance	net/minecraft/advancements/criterion/CuredZombieVillagerTrigger$TriggerInstance
